### polynomial kernel CV run with the old poly kernel functions to verify that they match with the old 
### polynomial kernel CV run and that the issue is after numba was added to polykernel funcs and that choice
### of whether to use numba should be consistent. 

Estimator: PolynomialKernel
Total number of parameters: 150
Time started: 20240731-120040
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 96.22879457473755 seconds.
Estimated time to finish is 1443.4319186210632 seconds.
--------------------------------------------------------------------------------
((2, 3, 1e-08, 0), 0.11176512927359393)
((2, 3, 0.1, 0), 68.74244557121541)
((2, 2, 1e-10, 0), nan)
((2, 1, 1e-11, 0), 58.25279268441736)
((2, 3, 1e-14, 0), nan)
((2, 1, 1e-08, 0), 0.478803804245853)
((2, 3, 1e-15, 0), nan)
((2, 1, 0.0001, 0), 0.5970880110817413)
((2, 1, 1e-07, 0), 0.8165554801456858)
((2, 1, 0.001, 0), 1.9927110518037627)
((2, 3, 1e-12, 0), nan)
((2, 2, 1e-05, 0), 0.00994406715005547)
((2, 1, 1e-09, 0), 22.041344768847438)
((2, 2, 1e-08, 0), 1.321748971863776)
((2, 1, 1e-15, 0), nan)
((2, 1, 0.01, 0), 34.43699682533738)
((2, 2, 0.1, 0), 92.73645516595285)
((2, 3, 1e-11, 0), 113.1618210142966)
((2, 2, 1e-13, 0), nan)
((2, 2, 0.001, 0), 0.27400823246685196)
((2, 4, 1e-11, 0), 129.08547748810122)
((2, 1, 1e-12, 0), nan)
((2, 3, 1e-09, 0), 23.137327970579317)
((2, 1, 0.1, 0), 95.64541690593106)
((2, 1, 1e-14, 0), nan)
((2, 1, 1e-10, 0), 34.52194514492018)
((2, 4, 1e-15, 0), nan)
((2, 4, 1e-14, 0), nan)
((2, 2, 1e-06, 0), 0.00032858675544289895)
((2, 2, 1e-07, 0), 0.00020673242299896615)
((2, 4, 1e-12, 0), nan)
((2, 3, 0.0001, 0), 0.02358745663903403)
((2, 3, 1e-06, 0), 4.388560181240848e-05)
((2, 1, 1e-13, 0), nan)
((2, 2, 1e-12, 0), nan)
((2, 2, 0.0001, 0), 0.08164010992933726)
((2, 2, 1e-09, 0), 5.513520886463157)
((2, 3, 1e-10, 0), 32.12431477181899)
((2, 1, 1e-05, 0), 0.7711494190797907)
((2, 4, 1e-13, 0), nan)
((2, 3, 1e-07, 0), 0.0003304812358810649)
((2, 2, 1e-15, 0), nan)
((2, 1, 1e-06, 0), 0.7923802230680665)
((2, 3, 1e-05, 0), 9.588123704452896e-05)
((2, 3, 1e-13, 0), nan)
((2, 2, 1e-11, 0), nan)
((2, 2, 1e-14, 0), nan)
((2, 2, 0.01, 0), 11.78944667412027)
((2, 3, 0.01, 0), 9.017777316497439)
((2, 3, 0.001, 0), 0.37994092566019183)
((2, 4, 1e-10, 0), 47.026176140409206)
((2, 4, 1e-09, 0), 14.485762865811513)
((2, 4, 1e-07, 0), 0.0435031082364611)
((2, 4, 1e-08, 0), 0.15809272555038434)
((2, 4, 1e-06, 0), 3.8182117464478426e-05)
((2, 4, 0.0001, 0), 0.0023654112588799344)
((2, 5, 1e-14, 0), nan)
((2, 4, 1e-05, 0), 8.489270248057058e-05)
((2, 5, 1e-11, 0), 181.91120298950835)
((2, 4, 0.01, 0), 7.555221148247545)
((2, 5, 1e-10, 0), 33.06751406856728)
((2, 5, 1e-15, 0), nan)
((2, 4, 0.1, 0), 66.26990503455765)
