Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 2, 1e-13, 0), 7823.630694931057)
((2, 2, 1e-12, 0), 70811.44288333639)
((2, 2, 1e-10, 0), 11.673967621061177)
((2, 2, 1e-11, 0), 11.96900805795539)
((2, 2, 1e-15, 0), 112704.8470898332)
((2, 2, 1e-14, 0), 23421.535177317208)
((2, 2, 1e-08, 0), 11.672739180870556)
((2, 2, 0.001, 0), 2.7171597119828954)
((2, 2, 1e-05, 0), 10.262589660326109)
((2, 2, 0.0001, 0), 5.829995801543995)
((2, 2, 0.01, 0), 1.6128733213795674)
((2, 2, 1e-06, 0), 11.509149209697572)
((2, 2, 1e-07, 0), 11.657597670586055)
((2, 2, 0.1, 0), 1.1845952396663235)
((2, 2, 1e-09, 0), 11.674488297318907)
((2, 3, 1e-14, 0), 6722.372516783633)
((2, 3, 1e-12, 0), 1729.1975817229809)
((2, 3, 1e-13, 0), 1868.5107508301328)
((2, 3, 1e-10, 0), 3.4673782143733574)
((2, 3, 1e-08, 0), 3.4643609118712178)
((2, 3, 1e-15, 0), 1719.1421562443052)
((2, 3, 1e-11, 0), 3.9045753280913815)
((2, 3, 1e-07, 0), 3.46428112123703)
((2, 3, 1e-05, 0), 3.456119435129736)
((2, 3, 0.001, 0), 2.9301341974598314)
((2, 3, 0.1, 0), 1.3428460027541285)
((2, 3, 0.0001, 0), 3.385946288700498)
((2, 3, 0.01, 0), 2.0093562567198635)
((2, 3, 1e-06, 0), 3.4635354693303375)
((2, 3, 1e-09, 0), 3.4645445143194884)
((2, 4, 1e-13, 0), 1919.9439733249596)
((2, 4, 1e-14, 0), 4256.9517785810185)
