Estimator: PolynomialKernel
Total number of parameters: 135
Time started: 20240731-112043
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 14.62292194366455 seconds.
Estimated time to finish is 14.62292194366455 seconds.
--------------------------------------------------------------------------------
((1, 1, 1e-13, 0), 4048.5732043694743)
((1, 1, 1e-11, 0), 1.1506336805143897)
((1, 1, 1e-10, 0), 1.1473190215851499)
((1, 1, 1e-14, 0), 285412.43196822726)
((1, 1, 1e-12, 0), 1.3377453123415473)
((1, 1, 1e-07, 0), 1.1473248073088171)
((1, 1, 1e-15, 0), 547396.9411979535)
((1, 1, 1e-06, 0), 1.1473249274776052)
((1, 1, 1e-05, 0), 1.147324928714328)
((1, 1, 0.0001, 0), 1.1473247560925393)
((1, 1, 0.001, 0), 1.1473230371039778)
((1, 1, 1e-08, 0), 1.147324392286346)
((1, 1, 0.01, 0), 1.147305882926219)
((1, 1, 0.1, 0), 1.1471376822605004)
((2, 1, 1e-15, 0), 93113.94889724298)
((1, 1, 1e-09, 0), 1.1473310496627445)
((2, 1, 1e-14, 0), 309751.85140961484)
((2, 1, 1e-11, 0), 1.1052255687059005)
((2, 1, 1e-09, 0), 1.0556620935400667)
((2, 1, 1e-06, 0), 1.055598352775817)
((2, 1, 1e-13, 0), 18423.60478728612)
((2, 1, 1e-12, 0), 9.453829257618537)
((2, 1, 1e-07, 0), 1.0555993759398956)
((2, 1, 0.01, 0), 1.0519135423915675)
((2, 1, 0.001, 0), 1.0549196566763308)
((2, 1, 0.0001, 0), 1.0555255160281258)
((2, 1, 1e-05, 0), 1.0555916585637106)
((3, 1, 1e-13, 0), 3052474.050548148)
((3, 1, 1e-14, 0), 3210685.9176553735)
((2, 1, 0.1, 0), 1.0511738739946805)
((2, 1, 1e-08, 0), 1.055599821848511)
((3, 1, 1e-11, 0), 4.6896095362542995)
