Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-072448
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: NormStd
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 12.282181978225708 seconds.
Estimated time to finish is 147.3861837387085 seconds.
--------------------------------------------------------------------------------
((0.1, 0.1, 1e-12, 100), 2.5525012879022846)
((0.1, 0.1, 1e-05, 100), 1.1166384314666358)
((0.1, 0.1, 1e-11, 100), 2.2486589325244415)
((0.1, 0.1, 1e-13, 100), 2.6134487480909634)
((0.1, 0.1, 1e-10, 100), 1.6823830839790173)
((0.1, 0.1, 1e-09, 100), 1.2168278959010206)
((0.1, 0.1, 1e-14, 100), 2.6203535805186178)
((0.1, 0.1, 0.01, 100), 1.1421805412284418)
((0.1, 0.1, 1e-15, 100), 2.6210890218592047)
((0.1, 0.1, 1e-06, 100), 1.0326978605313544)
((0.1, 0.2, 1e-15, 100), 2.4644751221289782)
((0.1, 0.1, 0.1, 100), 1.1417468161764903)
((0.1, 0.2, 1e-12, 100), 2.4633595298565085)
((0.1, 0.2, 1e-09, 100), 2.026835474479596)
((0.1, 0.1, 1e-07, 100), 1.030718832646711)
((0.1, 0.2, 1e-11, 100), 2.4535293410215644)
((0.1, 0.2, 1e-05, 100), 1.021413572485833)
((0.1, 0.2, 0.0001, 100), 1.0948904120965621)
((0.1, 0.2, 1e-14, 100), 2.46446526213827)
((0.1, 0.2, 1e-07, 100), 1.0763763557185007)
((0.1, 0.2, 1e-06, 100), 1.0284296273953977)
((0.1, 0.2, 0.001, 100), 1.1441753670314894)
((0.1, 0.3, 1e-13, 100), 2.4077566678340276)
((0.1, 0.2, 0.01, 100), 1.1437735733932128)
((0.1, 0.2, 1e-08, 100), 1.448094699048807)
((0.1, 0.3, 1e-15, 100), 2.4077669497430683)
((0.1, 0.3, 1e-12, 100), 2.4076641880957794)
((0.1, 0.3, 1e-11, 100), 2.4067408754702697)
