Estimator: Volterra
Total number of parameters: 1215
Time started: 20240613-083756
Validation parameters: [2500, 500, 500] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 22.753965377807617 seconds.
Estimated time to finish is 273.0475845336914 seconds.
--------------------------------------------------------------------------------
((0.1, 0.1, 1e-05, 100), 109.8835629097953)
((0.1, 0.4, 1e-12, 100), 0.0005312674111337413)
((0.1, 0.2, 0.1, 100), 95.3413351192071)
((0.1, 0.3, 1e-12, 100), 0.0002764466834497617)
((0.1, 0.1, 1e-10, 100), 0.10143634687792669)
((0.1, 0.3, 0.0001, 100), 50.2318651482618)
((0.1, 0.4, 1e-11, 100), 0.000513164113830483)
((0.1, 0.1, 0.001, 100), 91.79518285021982)
((0.1, 0.3, 1e-07, 100), 1.56126222652534)
((0.1, 0.1, 1e-09, 100), 2.572076283815302)
((0.1, 0.1, 0.0001, 100), 108.53931430186023)
((0.1, 0.1, 0.01, 100), 95.00078260910203)
((0.1, 0.1, 1e-12, 100), 0.008125017378191093)
((0.1, 0.1, 1e-11, 100), 0.02386865994993158)
((0.1, 0.1, 1e-06, 100), 87.58176431957531)
((0.1, 0.2, 1e-07, 100), 26.220999609115893)
((0.1, 0.2, 1e-08, 100), 0.3211916728246818)
((0.1, 0.1, 0.1, 100), 95.38046511104727)
((0.1, 0.3, 1e-05, 100), 50.52935778351988)
((0.1, 0.4, 1e-14, 100), 86.54627629125069)
((0.1, 0.2, 1e-06, 100), 49.320669598579414)
((0.1, 0.3, 1e-13, 100), 0.11466131494487417)
((0.1, 0.3, 1e-14, 100), 26.17820370241197)
((0.1, 0.3, 1e-11, 100), 5.8324116782865055e-05)
((0.1, 0.3, 1e-06, 100), 70.45934372507692)
((0.1, 0.2, 1e-13, 100), 0.7818556790463798)
((0.1, 0.2, 1e-14, 100), 209.33235022364155)
((0.1, 0.2, 1e-05, 100), 91.28170739297468)
((0.1, 0.3, 1e-15, 100), 59.00049169618278)
((0.1, 0.1, 1e-13, 100), 0.09649675997560574)
((0.1, 0.1, 1e-08, 100), 34.72880598555137)
((0.1, 0.3, 0.001, 100), 64.94016383849632)
((0.1, 0.3, 1e-10, 100), 0.004221843332357615)
((0.1, 0.2, 1e-11, 100), 0.0020523161481713265)
((0.1, 0.4, 1e-13, 100), 0.19282425436717848)
((0.1, 0.1, 1e-07, 100), 39.16736497234024)
((0.1, 0.3, 1e-09, 100), 0.05201263877304999)
((0.1, 0.2, 0.001, 100), 103.76862348084492)
((0.1, 0.2, 0.0001, 100), 78.31913653192402)
((0.1, 0.2, 1e-15, 100), 48.338329641916495)
((0.1, 0.3, 0.1, 100), 95.55160830446704)
((0.1, 0.2, 1e-12, 100), 0.005790391125002524)
((0.1, 0.2, 1e-10, 100), 0.02423750207970153)
((0.1, 0.3, 1e-08, 100), 0.14112317708659503)
((0.1, 0.3, 0.01, 100), 96.32788863476864)
((0.1, 0.1, 1e-14, 100), 21.41245402199442)
((0.1, 0.2, 0.01, 100), 94.5851927230496)
((0.1, 0.1, 1e-15, 100), 4.582628378372859)
((0.1, 0.2, 1e-09, 100), 0.047378662973059316)
((0.1, 0.4, 1e-15, 100), 88.11337098876614)
((0.1, 0.4, 1e-10, 100), 0.0001891318021994249)
((0.1, 0.4, 1e-09, 100), 0.02184284859837128)
((0.1, 0.4, 1e-08, 100), 0.16900587448234564)
