((0.7, 0.5, 1e-06, 1000), 0.004912276857870513)
((0.6, 0.4, 1e-07, 1000), 0.005001885164041781)
((0.9, 0.5, 0.0001, 1000), 0.0052367135696836965)
((0.8, 0.5, 1e-05, 1000), 0.005236917195727267)
((0.7, 0.2, 1e-07, 1000), 0.005494087910407276)
((0.6, 0.6, 1e-06, 1000), 0.005606038592190679)
((0.7, 0.4, 1e-06, 1000), 0.0056285218642404084)
((0.8, 0.6, 1e-05, 1000), 0.005662855762009473)
((0.5, 0.5, 1e-07, 1000), 0.005686487663160862)
((0.8, 0.3, 1e-05, 1000), 0.005782833523667672)
((0.9, 0.1, 1e-05, 1000), 0.0058183672873315)
((0.7, 0.1, 1e-05, 1000), 0.005855682199658774)
((0.6, 0.5, 1e-06, 1000), 0.005942389275160016)
((0.7, 0.6, 1e-05, 1000), 0.005986601856554145)
((0.2, 0.1, 1e-10, 1000), 0.006021865387484171)
((0.1, 0.1, 1e-11, 1000), 0.006034836988473241)
((0.6, 0.2, 1e-08, 1000), 0.00604121043940995)
((0.2, 0.1, 1e-09, 1000), 0.006108375930186219)
((0.3, 0.1, 1e-08, 1000), 0.006113035565091848)
((0.9, 0.8, 1e-05, 1000), 0.006145157207738966)
((0.3, 0.1, 1e-09, 1000), 0.006179195507920244)
((0.4, 0.1, 1e-08, 1000), 0.0061794986130572355)
((0.9, 0.6, 0.0001, 1000), 0.006258966995736421)
((0.9, 0.9, 1e-06, 1000), 0.006286746105288414)
((0.1, 0.1, 1e-10, 1000), 0.00629619029825384)
((0.1, 0.5, 1e-11, 1000), 0.0063307074523793454)
((0.2, 0.6, 1e-09, 1000), 0.006371388501222438)
((0.4, 0.3, 1e-09, 1000), 0.006431989023674862)
((0.3, 0.5, 1e-09, 1000), 0.006446232408729966)
((0.2, 0.5, 1e-10, 1000), 0.006449030246538397)
((0.5, 0.1, 0.001, 1000), 0.006457597638511143)
((0.4, 0.6, 0.01, 1000), 0.006458019175691054)
((0.4, 0.5, 0.01, 1000), 0.006459460020343555)
((0.8, 0.3, 0.1, 1000), 0.006465731578814979)
((0.2, 0.4, 0.001, 1000), 0.006472865405461796)
((0.8, 0.7, 1e-05, 1000), 0.006481908387458312)
((0.6, 0.2, 0.01, 1000), 0.00648969658945628)
((0.3, 0.2, 0.001, 1000), 0.006490012354908027)
((0.1, 0.8, 1e-12, 1000), 0.0064948298030989325)
((0.5, 0.4, 0.01, 1000), 0.006499170196658334)
((0.2, 0.1, 0.0001, 1000), 0.006501529380136022)
((0.5, 0.1, 1e-07, 1000), 0.006514373643884958)
((0.5, 0.3, 0.01, 1000), 0.006517453069054841)
((0.4, 0.6, 1e-07, 1000), 0.0065233202389877315)
((0.4, 0.7, 0.01, 1000), 0.006549208063785613)
((0.5, 0.5, 0.01, 1000), 0.006552292231328477)
((0.1, 0.3, 0.0001, 1000), 0.006555534955103892)
((0.6, 0.1, 0.001, 1000), 0.0065716455136788626)
((0.8, 0.4, 1e-05, 1000), 0.006575640557427279)
((0.4, 0.2, 0.001, 1000), 0.0065757448892135185)
((0.3, 0.3, 0.001, 1000), 0.00657632996918892)
((0.2, 0.5, 0.001, 1000), 0.006577442303473275)
((0.1, 0.1, 1e-05, 1000), 0.006579976793518433)
((0.3, 0.1, 0.0001, 1000), 0.006593055466987548)
((0.1, 0.2, 0.0001, 1000), 0.006596353853952499)
((0.5, 0.6, 1e-06, 1000), 0.00661230494688108)
((0.1, 0.3, 1e-05, 1000), 0.006615190189047196)
((0.1, 0.2, 1e-06, 1000), 0.006617858555613138)
((0.6, 0.4, 0.01, 1000), 0.006618408544389699)
((0.2, 0.6, 0.001, 1000), 0.006618553621295617)
((0.2, 0.2, 1e-05, 1000), 0.006623211958519377)
((0.1, 0.4, 1e-05, 1000), 0.006624661339632505)
((0.2, 0.4, 0.0001, 1000), 0.006629082884179002)
((0.8, 0.1, 0.01, 1000), 0.0066299738443283945)
((0.5, 0.1, 0.0001, 1000), 0.006632799491889347)
((0.4, 0.3, 0.001, 1000), 0.006632810663509061)
((0.3, 0.4, 0.001, 1000), 0.006633089352166448)
((0.2, 0.1, 1e-06, 1000), 0.00663606823907449)
((0.1, 0.5, 0.0001, 1000), 0.006636855480896153)
((0.2, 0.2, 0.0001, 1000), 0.006638285070543803)
((0.5, 0.7, 1e-06, 1000), 0.006638573625857523)
((0.3, 0.3, 0.0001, 1000), 0.006639700131506698)
((0.4, 0.1, 0.0001, 1000), 0.0066397435266102416)
((0.1, 0.4, 0.0001, 1000), 0.006640765284476142)
((0.2, 0.3, 0.0001, 1000), 0.006646107559736787)
((0.4, 0.4, 0.001, 1000), 0.006647360452050836)
((0.3, 0.1, 1e-05, 1000), 0.006649727667530692)
((0.4, 0.8, 0.01, 1000), 0.006656100701601423)
((0.1, 0.5, 1e-05, 1000), 0.006656610647399322)
((0.4, 0.2, 0.0001, 1000), 0.0066569576505418546)
((0.2, 0.1, 1e-05, 1000), 0.006658117839088323)
((0.3, 0.5, 0.001, 1000), 0.006659685584807735)
((0.3, 0.2, 0.0001, 1000), 0.006664169631291045)
((0.1, 0.2, 1e-05, 1000), 0.006665124733311524)
((0.1, 0.1, 1e-07, 1000), 0.006665174908029186)
((0.1, 0.1, 1e-06, 1000), 0.006665570281912105)
((0.4, 0.1, 1e-05, 1000), 0.006672433208566057)
((0.2, 0.3, 0.001, 1000), 0.0066738126017815876)
((0.2, 0.5, 0.0001, 1000), 0.006678035886817944)
((0.1, 0.7, 0.0001, 1000), 0.006680342462118467)
((0.1, 0.6, 0.0001, 1000), 0.0066820280664936366)
((0.5, 0.3, 0.001, 1000), 0.006697351243302703)
((0.5, 0.2, 0.001, 1000), 0.006698658069729098)
((0.1, 0.6, 1e-05, 1000), 0.00670237798524266)
((0.4, 0.5, 1e-08, 1000), 0.0067081413073547995)
((0.2, 0.7, 0.001, 1000), 0.006708471522117991)
((0.8, 0.9, 1e-07, 1000), 0.006713146146920665)
((0.7, 0.1, 0.001, 1000), 0.00671334005893265)
((0.8, 0.6, 0.0001, 1000), 0.006717570819047921)
((0.7, 0.5, 0.1, 1000), 0.006721528689069497)
((0.1, 0.8, 0.0001, 1000), 0.006724700590264353)
((0.2, 0.8, 0.001, 1000), 0.006733188148444569)
((0.1, 0.3, 1e-06, 1000), 0.006735624747412005)
((0.3, 0.6, 0.001, 1000), 0.006736293935598076)
((0.2, 0.9, 0.001, 1000), 0.006744343249727427)
((0.5, 0.6, 0.01, 1000), 0.006747439487174984)
((0.2, 0.6, 0.0001, 1000), 0.006775358499037617)
((0.1, 0.7, 1e-05, 1000), 0.006786892301079792)
((0.8, 0.8, 1e-06, 1000), 0.0067939243332972)
((0.6, 0.3, 0.01, 1000), 0.006802304448345797)
((0.1, 0.6, 1e-10, 1000), 0.00680364180425172)
((0.4, 0.4, 0.01, 1000), 0.006809455093943554)
((0.6, 0.5, 1e-07, 1000), 0.006816380070121445)
((0.3, 0.7, 0.001, 1000), 0.006831836966839618)
((0.7, 0.1, 0.01, 1000), 0.006835045702720231)
((0.2, 0.7, 0.0001, 1000), 0.006838100423596919)
((0.6, 0.2, 0.001, 1000), 0.006854393266136762)
((0.2, 0.3, 1e-05, 1000), 0.006863291902389107)
((0.4, 0.5, 0.001, 1000), 0.006864898566448762)
((0.1, 0.9, 0.0001, 1000), 0.006866942427332961)
((0.1, 0.9, 1e-05, 1000), 0.006871327098051579)
((0.7, 0.6, 0.1, 1000), 0.006871815829716195)
((0.1, 0.8, 1e-05, 1000), 0.0068769592382308935)
((0.9, 0.5, 0.001, 1000), 0.006882377740396002)
((0.5, 0.9, 0.01, 1000), 0.00688398384200997)
((0.1, 0.7, 1e-10, 1000), 0.00688837982250272)
((0.3, 0.8, 0.001, 1000), 0.006893028751497516)
((0.2, 0.9, 0.0001, 1000), 0.006897106625868852)
((0.5, 0.6, 1e-07, 1000), 0.006909851946819892)
((0.7, 0.4, 0.1, 1000), 0.006932544356608745)
((0.3, 0.6, 1e-08, 1000), 0.0069569129691008135)
((0.3, 0.9, 0.001, 1000), 0.006959873834874232)
((0.7, 0.5, 1e-05, 1000), 0.006962026868623407)
((0.5, 0.8, 0.01, 1000), 0.006962504961199681)
((0.8, 0.5, 0.0001, 1000), 0.006965223240897021)
((0.5, 0.7, 0.01, 1000), 0.006965591717995812)
((0.2, 0.8, 0.0001, 1000), 0.0069738021515737955)
((0.7, 0.9, 1e-08, 1000), 0.007010714642641872)
((0.3, 0.4, 0.0001, 1000), 0.007041978515760099)
((0.6, 0.5, 0.01, 1000), 0.007061274585219008)
((0.1, 0.4, 1e-06, 1000), 0.007072164095619974)
((0.6, 0.7, 1e-06, 1000), 0.007072924754979413)
((0.3, 0.1, 1e-06, 1000), 0.007096214358905755)
((0.6, 0.7, 1e-05, 1000), 0.007159023923170478)
((0.4, 0.1, 1e-10, 1000), 0.007175470038557271)
((0.4, 0.6, 0.001, 1000), 0.007183543427158679)
((0.9, 0.9, 1e-07, 1000), 0.007208701627837677)
((0.3, 0.8, 1e-08, 1000), 0.007222120996047672)
((0.8, 0.7, 0.0001, 1000), 0.007223635977214836)
((0.2, 0.9, 1e-09, 1000), 0.007234447092804942)
((0.7, 0.8, 1e-07, 1000), 0.007240834706638348)
((0.1, 0.8, 1e-10, 1000), 0.0072429230762207746)
((0.5, 0.1, 1e-06, 1000), 0.00726189907900162)
((0.1, 0.6, 1e-11, 1000), 0.007262534394356525)
((0.5, 0.1, 1e-09, 1000), 0.007275460579238061)
((0.3, 0.7, 1e-08, 1000), 0.007277460563242293)
((0.4, 0.9, 0.001, 1000), 0.007277709586149993)
((0.1, 0.9, 1e-09, 1000), 0.0072796761278543)
((0.6, 0.1, 0.0001, 1000), 0.007286884665712794)
((0.4, 0.5, 1e-07, 1000), 0.007290431111342854)
((0.7, 0.7, 1e-05, 1000), 0.0072908604674249795)
((0.9, 0.4, 0.001, 1000), 0.007319904519421456)
((0.8, 0.4, 0.1, 1000), 0.007328556039633387)
((0.4, 0.1, 0.001, 1000), 0.007330990413219395)
((0.3, 0.7, 0.01, 1000), 0.007337381831584394)
((0.2, 0.7, 1e-09, 1000), 0.00735013563685481)
((0.2, 0.1, 1e-12, 1000), 0.007354478599914531)
((0.9, 0.6, 0.001, 1000), 0.007357285762350318)
((0.7, 0.6, 1e-06, 1000), 0.007362082727015216)
((0.6, 0.9, 1e-07, 1000), 0.007371622282771392)
((0.5, 0.2, 1e-09, 1000), 0.007374101468852673)
((0.3, 0.1, 1e-11, 1000), 0.007374523861080479)
((0.4, 0.7, 0.001, 1000), 0.007400607920234953)
((0.6, 0.9, 0.01, 1000), 0.007407897584929343)
((0.1, 0.7, 0.001, 1000), 0.00741891423158666)
((0.2, 0.8, 1e-09, 1000), 0.00742526699717801)
((0.3, 0.9, 1e-07, 1000), 0.007426438086555089)
((0.4, 0.9, 1e-08, 1000), 0.007432967458872446)
((0.7, 0.8, 1e-06, 1000), 0.007471900073241769)
((0.5, 0.8, 1e-07, 1000), 0.007480246744285939)
((0.3, 0.6, 0.01, 1000), 0.007500550925406799)
((0.8, 0.9, 1e-06, 1000), 0.00750902995149417)
((0.4, 0.9, 0.01, 1000), 0.0075261025283334705)
((0.7, 0.7, 0.1, 1000), 0.0075270559676825525)
((0.7, 0.8, 1e-05, 1000), 0.007538108853738479)
((0.7, 0.3, 1e-06, 1000), 0.007544096827075533)
((0.6, 0.3, 1e-07, 1000), 0.007550681369442118)
((0.4, 0.8, 0.001, 1000), 0.007563294857164015)
((0.5, 0.3, 1e-08, 1000), 0.00756767919411094)
((0.5, 0.7, 1e-07, 1000), 0.007569066546277804)
((0.1, 0.9, 1e-10, 1000), 0.0075966510757786996)
((0.2, 0.1, 1e-11, 1000), 0.007601623963784946)
((0.7, 0.9, 1e-07, 1000), 0.007617410594631559)
((0.4, 0.6, 1e-08, 1000), 0.007620479656382872)
((0.3, 0.8, 1e-07, 1000), 0.0076236696860072575)
((0.2, 0.4, 1e-09, 1000), 0.00762783926512409)
((0.5, 0.9, 1e-06, 1000), 0.007652339276432866)
((0.6, 0.6, 0.01, 1000), 0.007653359361889022)
((0.4, 0.8, 1e-06, 1000), 0.007664381644718245)
((0.4, 0.2, 1e-08, 1000), 0.007676704850701235)
((0.1, 0.5, 1e-06, 1000), 0.007676891944430843)
((0.4, 0.1, 1e-09, 1000), 0.007681304645158266)
((0.9, 0.7, 0.0001, 1000), 0.007682518106173557)
((0.9, 0.7, 1e-05, 1000), 0.007682834598968311)
((0.2, 0.5, 1e-09, 1000), 0.00768823095880757)
((0.3, 0.2, 1e-09, 1000), 0.007694897021843767)
((0.1, 0.6, 0.001, 1000), 0.00769837174336848)
((0.4, 0.8, 1e-08, 1000), 0.0077027123579277105)
((0.3, 0.1, 1e-10, 1000), 0.0077084768385374276)
