Estimator: NGRC
Total number of parameters: 480
Time started: 20240615-143133
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: None
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 0.03269457817077637 seconds.
Estimated time to finish is 7.846698760986328 seconds.
--------------------------------------------------------------------------------
((2, 2, 1e-15, 0, True), 0.05440796437368545)
((2, 2, 1e-14, 0, True), 0.05440796437368545)
((2, 2, 1e-13, 0, True), 0.05440796437368545)
((2, 2, 1e-11, 0, True), 0.05440796436988482)
((2, 2, 1e-08, 0, True), 0.05440796046480958)
((2, 2, 0.0001, 0, True), 0.05436949820554395)
((2, 2, 1e-12, 0, True), 0.05440796437329458)
((2, 2, 1e-09, 0, True), 0.054407963982848154)
((2, 2, 0.1, 0, True), 0.04735111693307413)
((2, 2, 0.01, 0, True), 0.051141239421693976)
((2, 2, 1e-10, 0, True), 0.05440796433463233)
((2, 2, 0.001, 0, True), 0.0540580921249081)
((2, 3, 1e-13, 0, True), nan)
((2, 2, 1e-07, 0, True), 0.054407925284975824)
((2, 3, 1e-15, 0, True), nan)
((2, 3, 1e-06, 0, True), nan)
((2, 3, 1e-14, 0, True), nan)
((2, 3, 1e-05, 0, True), nan)
((2, 2, 1e-06, 0, True), 0.05440757354402899)
((2, 3, 1e-10, 0, True), nan)
((2, 2, 1e-05, 0, True), 0.0544040619615563)
((2, 3, 1e-09, 0, True), nan)
((2, 3, 1e-08, 0, True), nan)
((2, 3, 1e-12, 0, True), nan)
((2, 3, 1e-11, 0, True), nan)
((2, 3, 1e-07, 0, True), nan)
((2, 3, 0.0001, 0, True), nan)
((2, 4, 0.1, 0, True), 0.0457303063788272)
((2, 4, 1e-15, 0, True), 0.071287700786052)
((2, 3, 0.01, 0, True), 0.04711933087073161)
((2, 3, 0.001, 0, True), 0.057305544581589554)
((3, 2, 1e-13, 0, True), nan)
((2, 3, 0.1, 0, True), 0.045959988478707685)
((3, 2, 1e-11, 0, True), nan)
((3, 2, 1e-09, 0, True), nan)
((2, 5, 1e-12, 0, True), 0.08603426749916832)
((2, 5, 1e-05, 0, True), nan)
((3, 2, 1e-10, 0, True), nan)
((3, 2, 0.01, 0, True), 0.04820932643002197)
((2, 5, 1e-11, 0, True), 0.08607981539735417)
((3, 2, 0.1, 0, True), 0.04884349992433895)
((2, 5, 0.01, 0, True), 0.052651676774085866)
((2, 4, 1e-12, 0, True), 0.07129194182122348)
((2, 5, 0.1, 0, True), 0.05880915100097487)
((2, 4, 1e-14, 0, True), 0.071287700786052)
((2, 4, 1e-10, 0, True), 0.07152772268937349)
((3, 2, 1e-08, 0, True), nan)
((3, 2, 1e-15, 0, True), nan)
((2, 4, 1e-06, 0, True), nan)
((2, 4, 1e-07, 0, True), nan)
((3, 2, 1e-14, 0, True), nan)
((2, 4, 1e-09, 0, True), 0.07225185993296139)
((2, 4, 1e-08, 0, True), 0.06974726572471507)
((3, 2, 1e-12, 0, True), nan)
((2, 4, 1e-05, 0, True), nan)
((2, 4, 0.001, 0, True), 0.06057814198540511)
((2, 5, 1e-09, 0, True), 0.08524834624221285)
((2, 4, 0.0001, 0, True), nan)
((2, 5, 1e-10, 0, True), 0.08643559529758037)
((2, 4, 1e-13, 0, True), 0.071287700786052)
((2, 4, 0.01, 0, True), 0.0510810502676464)
((2, 4, 1e-11, 0, True), 0.07131479620682755)
((3, 2, 1e-07, 0, True), nan)
((3, 2, 1e-06, 0, True), nan)
((3, 2, 1e-05, 0, True), nan)
((3, 2, 0.0001, 0, True), nan)
((3, 2, 0.001, 0, True), nan)
((2, 5, 0.0001, 0, True), nan)
((2, 5, 0.001, 0, True), 0.05163387063147964)
((3, 3, 1e-11, 0, True), 0.07104101382585351)
((2, 5, 1e-14, 0, True), 0.08606074060651414)
((3, 3, 1e-07, 0, True), nan)
((3, 3, 1e-06, 0, True), nan)
((2, 5, 1e-15, 0, True), 0.08606074060651414)
((2, 5, 1e-08, 0, True), 0.079825296551443)
((2, 5, 1e-13, 0, True), 0.08606074060651414)
((2, 5, 1e-07, 0, True), nan)
((3, 3, 1e-05, 0, True), nan)
((3, 3, 0.0001, 0, True), 0.10297217257254862)
((3, 3, 0.01, 0, True), nan)
((2, 5, 1e-06, 0, True), nan)
((3, 3, 0.1, 0, True), 0.046317211405478356)
((3, 3, 1e-09, 0, True), 0.07672815803472319)
((3, 3, 1e-15, 0, True), 0.07295079964672399)
((3, 3, 1e-14, 0, True), 0.07295079964672399)
((3, 3, 1e-13, 0, True), 0.07295079964672399)
((3, 3, 1e-12, 0, True), 0.07267534268429064)
((3, 3, 1e-10, 0, True), 0.07144214062735595)
((3, 3, 1e-08, 0, True), nan)
((3, 4, 1e-15, 0, True), 0.09393592684182164)
((3, 4, 1e-13, 0, True), 0.09393592684182164)
((3, 4, 1e-12, 0, True), 0.09339339958082997)
((4, 2, 1e-13, 0, True), nan)
((3, 3, 0.001, 0, True), 0.3095370592381322)
((4, 2, 1e-11, 0, True), nan)
((4, 2, 1e-08, 0, True), nan)
((3, 4, 1e-07, 0, True), nan)
((3, 4, 1e-06, 0, True), nan)
((4, 2, 1e-07, 0, True), nan)
((3, 4, 1e-05, 0, True), nan)
((3, 4, 0.0001, 0, True), nan)
((3, 4, 1e-14, 0, True), 0.09393592684182164)
((4, 2, 1e-06, 0, True), nan)
((3, 4, 1e-11, 0, True), 0.09380905040030031)
((3, 4, 0.01, 0, True), nan)
((4, 2, 1e-10, 0, True), nan)
((4, 2, 0.0001, 0, True), nan)
((4, 2, 1e-05, 0, True), nan)
((3, 4, 1e-10, 0, True), 0.10188325494458872)
((4, 2, 1e-09, 0, True), nan)
((4, 2, 0.1, 0, True), 0.04874629180345589)
((4, 2, 0.01, 0, True), nan)
((4, 2, 1e-15, 0, True), nan)
((4, 2, 1e-14, 0, True), nan)
((4, 2, 1e-12, 0, True), nan)
((4, 2, 0.001, 0, True), nan)
((3, 4, 1e-08, 0, True), nan)
((3, 5, 1e-11, 0, True), 0.08093839042830467)
((3, 5, 1e-10, 0, True), 0.08780031025749299)
((3, 5, 1e-12, 0, True), 0.07072339609082558)
((3, 5, 1e-09, 0, True), nan)
((4, 3, 1e-11, 0, True), nan)
