Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240612-124703
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 67.67242097854614 seconds.
Estimated time to finish is 8120.690517425537 seconds.
--------------------------------------------------------------------------------
((2, 3, 0.001, 0), nan)
((2, 2, 0.001, 0), 0.054319846526344785)
((2, 2, 0.01, 0), 0.05462814288481889)
((2, 3, 1e-11, 0), nan)
((2, 2, 0.1, 0), 0.05062479884538292)
((2, 3, 1e-07, 0), nan)
((2, 4, 1e-10, 0), nan)
((2, 3, 0.0001, 0), nan)
((2, 2, 1e-10, 0), nan)
((2, 4, 1e-12, 0), nan)
((2, 4, 1e-09, 0), nan)
((2, 2, 1e-11, 0), nan)
((2, 3, 1e-14, 0), nan)
((2, 2, 1e-12, 0), nan)
((2, 4, 1e-15, 0), nan)
((2, 4, 1e-14, 0), nan)
((2, 3, 1e-13, 0), nan)
((2, 3, 1e-09, 0), nan)
((2, 2, 1e-08, 0), nan)
((2, 2, 1e-05, 0), nan)
((2, 2, 1e-06, 0), nan)
((2, 4, 1e-06, 0), nan)
((2, 2, 1e-09, 0), nan)
((2, 4, 0.0001, 0), 0.048153832342271406)
((2, 2, 1e-13, 0), nan)
((2, 2, 1e-07, 0), nan)
((2, 2, 0.0001, 0), nan)
((2, 3, 1e-15, 0), nan)
((2, 3, 1e-08, 0), nan)
((2, 3, 1e-10, 0), nan)
((2, 4, 1e-13, 0), nan)
((2, 4, 0.1, 0), 0.04769245064417925)
((2, 5, 1e-15, 0), nan)
((2, 4, 0.001, 0), 0.0781306044060688)
((2, 4, 1e-11, 0), nan)
((2, 3, 0.01, 0), 0.050633104012632525)
((2, 5, 1e-12, 0), nan)
((2, 5, 1e-14, 0), nan)
((2, 4, 1e-08, 0), nan)
((2, 5, 1e-13, 0), nan)
((2, 4, 0.01, 0), nan)
((2, 3, 0.1, 0), 0.05156740967996611)
((2, 2, 1e-14, 0), nan)
((2, 3, 1e-05, 0), nan)
((2, 2, 1e-15, 0), nan)
((2, 3, 1e-06, 0), nan)
((2, 3, 1e-12, 0), nan)
((2, 5, 1e-11, 0), nan)
((2, 4, 1e-05, 0), 0.04544024115505431)
((2, 4, 1e-07, 0), nan)
((2, 5, 1e-07, 0), nan)
((2, 5, 1e-09, 0), nan)
((2, 5, 1e-10, 0), nan)
((2, 5, 1e-05, 0), nan)
((2, 5, 1e-08, 0), nan)
((2, 5, 0.0001, 0), 0.05830588419136349)
((2, 6, 0.0001, 0), nan)
((2, 6, 1e-12, 0), nan)
((2, 5, 1e-06, 0), nan)
((2, 6, 1e-11, 0), nan)
((2, 5, 0.01, 0), nan)
((2, 5, 0.001, 0), 0.05121899988601064)
((2, 6, 1e-10, 0), nan)
((2, 6, 1e-06, 0), nan)
((2, 6, 1e-13, 0), nan)
((2, 6, 1e-08, 0), nan)
((2, 6, 0.001, 0), 0.05449729917018281)
((2, 6, 1e-07, 0), nan)
((2, 7, 1e-11, 0), nan)
((2, 6, 0.01, 0), 0.05268952647739026)
((2, 6, 1e-15, 0), nan)
((2, 7, 1e-14, 0), nan)
((2, 6, 0.1, 0), nan)
((2, 6, 1e-05, 0), nan)
((2, 7, 1e-12, 0), nan)
((2, 6, 1e-14, 0), nan)
((2, 7, 1e-13, 0), nan)
((2, 7, 1e-15, 0), nan)
