Estimator: PolynomialKernel
Total number of parameters: 135
Time started: 20240801-120108
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: MinMax
Normalisation type for targets: None
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 14.693967580795288 seconds.
Estimated time to finish is 14.693967580795288 seconds.
--------------------------------------------------------------------------------
((2, 1, 0.01, 0), 0.05655950420799183)
((1, 1, 1e-11, 0), 0.05662840495287737)
((1, 1, 1e-09, 0), 0.05436307172853701)
((1, 1, 1e-13, 0), 0.6469628613256975)
((1, 1, 1e-12, 0), 139.09240398610024)
((4, 1, 1e-13, 0), nan)
((1, 1, 1e-10, 0), 0.05436974908154276)
((2, 1, 1e-05, 0), 0.05633177617088072)
((2, 1, 0.0001, 0), 0.05633377765191892)
((1, 1, 1e-14, 0), nan)
((2, 1, 0.001, 0), 0.0563538539152908)
((3, 1, 1e-09, 0), 0.057798412365568874)
((1, 1, 0.1, 0), 0.054145184676694824)
((3, 1, 0.01, 0), 0.05812626698520995)
((3, 1, 1e-11, 0), 0.11874636200167883)
((3, 1, 1e-15, 0), nan)
((1, 1, 0.001, 0), 0.05435492031854121)
((3, 1, 0.001, 0), 0.05784753540069003)
((3, 1, 1e-10, 0), 0.05772565430264205)
((2, 1, 1e-13, 0), 3465192.5258606793)
((1, 1, 0.0001, 0), 0.05435696184397978)
((1, 1, 0.01, 0), 0.05433464775886136)
((1, 1, 1e-05, 0), 0.05435716683680588)
((3, 1, 1e-05, 0), 0.05781726223098369)
((3, 1, 1e-06, 0), 0.05781700994101158)
((2, 1, 1e-12, 0), 0.1493969446554309)
((3, 1, 0.0001, 0), 0.05782000612542905)
((3, 1, 1e-14, 0), nan)
((2, 1, 1e-10, 0), 0.05663817316234422)
((4, 1, 1e-15, 0), nan)
((4, 1, 1e-14, 0), nan)
((2, 1, 1e-06, 0), 0.056331590205636925)
((4, 1, 1e-12, 0), nan)
((2, 1, 1e-07, 0), 0.05633177892683655)
((2, 1, 1e-09, 0), 0.056359940433086064)
((2, 1, 1e-08, 0), 0.05633325985981143)
((4, 1, 1e-11, 0), 0.13361029930799104)
((2, 1, 1e-15, 0), nan)
((2, 1, 1e-14, 0), nan)
((3, 1, 1e-08, 0), 0.05781212490370535)
((1, 1, 1e-08, 0), 0.05435769579884653)
((3, 1, 1e-12, 0), 0.3678348190784379)
((3, 1, 1e-07, 0), 0.05781680681424164)
((3, 1, 1e-13, 0), nan)
((3, 1, 0.1, 0), 0.06120092828740216)
((2, 1, 1e-11, 0), 0.06109121719232051)
((1, 1, 1e-06, 0), 0.05435718938624943)
((1, 1, 1e-15, 0), nan)
((1, 1, 1e-07, 0), 0.05435720196666979)
((2, 1, 0.1, 0), 0.0590175604986977)
((4, 1, 1e-09, 0), 0.06109426055683522)
((4, 1, 1e-08, 0), 0.06120400151868334)
((4, 1, 1e-07, 0), 0.06120897971865082)
((4, 1, 1e-10, 0), 0.06642624826772668)
((6, 1, 1e-12, 0), nan)
((5, 1, 1e-12, 0), nan)
((4, 1, 1e-06, 0), 0.061210590340709616)
((4, 1, 0.0001, 0), 0.06118570887318377)
((5, 1, 1e-13, 0), nan)
((5, 1, 1e-09, 0), 0.0618306865558631)
((5, 1, 1e-10, 0), 0.06806792525407865)
((4, 1, 0.001, 0), 0.0609748664035306)
((6, 1, 1e-09, 0), 0.06323806067995011)
((4, 1, 0.1, 0), 0.06104345633782686)
