Estimator: Volterra
Total number of parameters: 1215
Time started: 20240612-091137
Validation parameters: [2000, 500, 100] (training, validation, jump)
Validation type: rolling
Task: PathContinue
Normalisation type for inputs: ScaleL2Shift
Normalisation type for targets: None
Error type: meansquare
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 11.880665063858032 seconds.
Estimated time to finish is 142.5679807662964 seconds.
--------------------------------------------------------------------------------
((0.1, 0.1, 1e-08, 100), 0.047335506340367206)
((0.1, 0.2, 1e-06, 100), 0.04798876024279453)
((0.1, 0.3, 1e-09, 100), 0.09592001644698435)
((0.1, 0.1, 1e-09, 100), 0.06021599506238573)
((0.1, 0.1, 1e-07, 100), 0.04645067729892917)
((0.1, 0.1, 1e-10, 100), 0.08701604898200573)
((0.1, 0.3, 1e-08, 100), 0.047123698384153284)
((0.1, 0.3, 1e-10, 100), 585544298103.6416)
((0.1, 0.3, 1e-11, 100), 5451127768.620459)
((0.1, 0.1, 0.0001, 100), 0.05352343388931903)
((0.1, 0.2, 1e-08, 100), 0.054925510195334384)
((0.1, 0.3, 1e-12, 100), 1038102749183399.2)
((0.1, 0.1, 1e-05, 100), 0.05337971199996083)
((0.1, 0.1, 1e-11, 100), 0.08440495367855719)
((0.1, 0.3, 0.0001, 100), 0.05446237416032842)
((0.1, 0.1, 1e-06, 100), 0.05004131330597024)
((0.1, 0.3, 1e-13, 100), 3.078569451617432e+22)
((0.1, 0.2, 1e-12, 100), 143502642132.36945)
((0.1, 0.1, 0.001, 100), 0.05196063204666451)
((0.1, 0.2, 1e-10, 100), 0.08371481856411297)
((0.1, 0.1, 0.1, 100), 0.05080885855213996)
((0.1, 0.2, 1e-11, 100), 0.10355420704080957)
((0.1, 0.2, 1e-13, 100), 5.966390848251518e+20)
((0.1, 0.1, 0.01, 100), 0.0507457506862772)
((0.1, 0.3, 0.01, 100), 0.051928894882608524)
((0.1, 0.3, 1e-05, 100), 0.05229086912230287)
((0.1, 0.2, 1e-07, 100), 0.0489494583548694)
((0.1, 0.3, 1e-14, 100), 8.179709722673566e+23)
((0.1, 0.2, 1e-09, 100), 0.08496078434786303)
((0.1, 0.3, 0.001, 100), 0.05363516190063957)
((0.1, 0.3, 1e-06, 100), 0.05049207759271161)
((0.1, 0.1, 1e-12, 100), 0.06872590140418736)
((0.1, 0.3, 0.1, 100), 0.050747513104882847)
((0.1, 0.3, 1e-07, 100), 0.05326977512397477)
((0.1, 0.4, 1e-12, 100), 3.089678885389112e+18)
((0.1, 0.4, 1e-11, 100), 42425410246434.18)
((0.1, 0.2, 0.0001, 100), 0.054309226462248464)
((0.1, 0.2, 0.1, 100), 0.05074909553669667)
((0.1, 0.2, 0.01, 100), 0.05126904358818009)
((0.1, 0.2, 1e-05, 100), 0.05227811708713816)
((0.1, 0.1, 1e-15, 100), 2.0643504953511787e+29)
((0.1, 0.2, 0.001, 100), 0.05295578401186496)
((0.1, 0.4, 1e-13, 100), 3.7932163129230366e+21)
((0.1, 0.4, 1e-14, 100), 7.592746420038707e+26)
((0.1, 0.4, 1e-15, 100), 1.5486354824828144e+24)
((0.1, 0.1, 1e-13, 100), 4.033918961966819e+19)
((0.1, 0.1, 1e-14, 100), 4.532679822832712e+27)
((0.1, 0.2, 1e-14, 100), 9.663765821941981e+27)
((0.1, 0.2, 1e-15, 100), 3.7494138632169196e+26)
((0.1, 0.3, 1e-15, 100), 3.4002739757445564e+26)
((0.1, 0.4, 1e-10, 100), 47523106355501.11)
((0.1, 0.4, 0.1, 100), 0.05089895882250578)
